time, Quad.Est.E.Pos, Quad.Est.S.Z
4.239875,0.087663,0.459440
4.244875,0.088093,0.459791
4.249875,0.088379,0.460031
4.254874,0.088811,0.460401
4.259874,0.089110,0.460654
4.264874,0.089551,0.461043
4.269873,0.089839,0.461309
4.274873,0.090281,0.461720
4.279872,0.090577,0.462001
4.284872,0.091023,0.462433
4.289872,0.091297,0.462728
4.294871,0.091731,0.463183
4.299871,0.092043,0.463495
4.304871,0.079008,0.460831
4.309870,0.078904,0.461025
4.314870,0.078756,0.461323
4.319870,0.078683,0.461527
4.324869,0.078519,0.461841
4.329869,0.078416,0.462055
4.334868,0.078270,0.462386
4.339868,0.078157,0.462612
4.344868,0.078000,0.462960
4.349867,0.077881,0.463199
4.354867,0.077712,0.463566
4.359867,0.077594,0.463817
4.364866,0.077417,0.464204
4.369866,0.077332,0.464468
4.374866,0.077175,0.464876
4.379865,0.077096,0.465155
4.384865,0.076957,0.465584
4.389864,0.076852,0.465878
4.394864,0.076712,0.466329
4.399864,0.076598,0.466639
4.404863,0.066460,0.463993
4.409863,0.066197,0.464186
4.414863,0.065983,0.464482
4.419862,0.065867,0.464684
4.424862,0.065679,0.464996
4.429862,0.065573,0.465209
4.434861,0.065436,0.465537
4.439861,0.065354,0.465762
4.444860,0.065256,0.466108
4.449860,0.065175,0.466345
4.454860,0.065100,0.466709
4.459859,0.065115,0.466959
4.464859,0.065114,0.467343
4.469859,0.065112,0.467606
4.474858,0.065145,0.468010
4.479858,0.065160,0.468287
4.484858,0.065224,0.468714
4.489857,0.065255,0.469005
4.494857,0.065346,0.469454
4.499856,0.065418,0.469761
4.504856,0.054637,0.467134
4.509856,0.054248,0.467325
4.514855,0.053853,0.467619
4.519855,0.053580,0.467820
4.524855,0.053216,0.468129
4.529854,0.052979,0.468341
4.534854,0.052633,0.468667
4.539854,0.052407,0.468890
4.544853,0.052081,0.469234
4.549853,0.051885,0.469469
4.554852,0.051591,0.469831
4.559852,0.051401,0.470079
4.564852,0.051130,0.470461
4.569851,0.050975,0.470722
4.574851,0.050739,0.471124
4.579851,0.050583,0.471399
4.584850,0.050368,0.471823
4.589850,0.050237,0.472113
4.594850,0.050049,0.472558
4.599849,0.049929,0.472863
